icao,qtd_atrasos
SBGR,85361
SBSP,52053
SBKP,30260
SBCF,23285
SBRJ,20119
SBBR,20008
SBGL,17160
SBRF,16215
SBSV,11985
SBPA,11601
SBCT,10859
SBFZ,8657
SBEG,8046
LPPT,7149
SBFL,6942
MPTO,6830
SBBE,6625
KMIA,6011
SBGO,5895
SCEL,5219
SBVT,5090
SABE,4403
SBCY,4007
SBPS,3817
SBNF,3696
SAEZ,3375
SBFI,3348
SBSG,3337
SBMO,3293
LEMD,3010
SBRP,2677
SBSL,2480
SBJP,2116
SBUL,1985
EDDF,1851
EHAM,1784
SBAR,1731
SBCG,1723
LFPG,1572
SBSR,1467
SKBO,1415
SBMG,1372
SBLO,1347
KJFK,1153
SBIL,1145
SBJR,1143
SBJV,1121
LIRF,1116
SBPV,1097
KIAH,1058
SBTE,996
SPJC,974
SBCH,954
KATL,918
EGLL,889
SBUY,888
SBCA,829
OTHH,820
SBFN,802
SUMU,793
SEQM,738
OMDB,729
SBCX,663
CYYZ,653
KEWR,646
SBIP,633
SBPL,631
SBDN,626
ELLX,624
SBMQ,624
SBZM,620
SBPJ,619
SBJU,615
SBMK,591
SBBV,584
SBSN,572
LTFM,570
KDFW,539
SBRB,538
SBVC,492
GVAC,462
KMCO,434
SBJE,426
MMMX,425
SBKG,425
SBPF,418
LPPR,410
KORD,410
SBSI,409
LSZH,404
SBIZ,404
HAAB,395
GOBD,389
SBCJ,353
SLVR,345
CYUL,344
SGAS,343
SNBR,331
SBAU,303
KFLL,297
SBCP,281
KMEM,278
SBMA,277
LIMC,273
SWKO,270
SBGV,266
KIAD,261
SAME,257
SWCA,256
SBJA,256
SBUR,249
SBSM,245
SBUG,245
KLAX,236
SBAE,227
SNCL,227
SBTT,223
SBNM,218
SBPK,217
SBTF,215
SBPB,202
SWPI,199
SNVS,197
EDDM,193
LFPO,187
SBML,183
SBPP,173
FNLU,172
SBBW,169
SBCB,157
SWLC,156
SBMS,149
SSOU,148
SBIH,143
LEBL,139
KBOS,137
SBME,135
SNGI,134
SBSO,133
SMJP,132
SWJN,129
SBMD,126
SACO,122
SSGG,121
SBRD,118
SBTU,118
SBHT,115
SBJD,113
SBCZ,106
SBPO,101
DNMM,100
SLCB,100
FAOR,99
SWMW,98
SBAX,98
SSGY,97
SSRS,96
SWEI,95
SNTS,94
SBJI,93
SWGN,93
SNPD,92
PANC,92
SGES,91
DGAA,91
SBDB,87
SAZS,85
SNEB,84
SBCN,84
SBTG,83
SBMY,82
EBBR,81
SNLN,80
SBTC,79
SNTO,79
SBCR,77
ZBAA,76
SBVH,75
SWHP,73
FACT,73
SBPG,69
SBBG,67
SBLE,67
SSUM,67
SBVG,66
SULS,65
SAAR,65
SNCP,65
SBTD,64
SBTB,63
SSLT,63
SWLB,61
SNMZ,59
SNHS,58
SSKW,57
RKSI,57
SNRU,57
SBSJ,57
SKRG,57
SVPR,56
SBAT,55
VHHH,53
SNSS,52
SNAB,52
SNYA,50
SBUA,50
SNTF,50
SBAQ,49
SBMI,48
SNSM,47
SSCN,47
SSUV,46
TNCC,45
SSVL,45
MDPC,45
SWBC,44
MMSM,41
SBAC,41
SDIY,41
SASA,40
SOCA,39
OMDW,38
SYCJ,37
SBUF,37
SWYN,34
SNZR,34
SNJM,32
SSFB,32
SSSC,32
SBCO,32
KHSV,31
TJSJ,30
SBOI,29
HKJK,29
SSZR,28
SVMI,27
OOMS,27
SNMA,27
SNOX,27
TJBQ,25
SNDV,25
SNRJ,25
SWBE,25
SWTS,24
SWKQ,24
SWTP,23
SNGN,22
SSSB,21
SJZA,21
SEGU,18
GMMN,18
MDSD,17
SSOG,17
SNWS,17
SSKM,17
SNIG,17
SIRI,16
SNEE,13
SDOW,12
TFFF,12
SSCT,12
SDSC,11
SWBR,10
UBBB,10
SSAP,10
SSER,10
CYMX,9
SSCP,9
SDCG,9
GUCY,8
SNTI,8
KPHX,7
MMMY,7
MMUN,6
KAEX,6
ZUUU,5
SWFX,5
SNOB,5
OEJN,5
TTPP,5
EPWA,4
VCBI,4
VMMC,4
SDH2,4
SKCG,4
MKJP,4
SN6L,4
SYEC,4
SKCL,3
SKLT,3
LTBA,3
OMSJ,3
EGSS,3
SARP,3
SARI,3
SANT,3
SCIE,3
SLLP,2
OKBK,2
SVVG,2
MROC,2
VTBS,2
SIMK,2
OERK,2
RJGG,2
KLCK,2
KLAS,2
SKBQ,2
SBBH,2
SDLO,2
SCFA,2
HECA,2
TNCA,2
SVVA,2
CYXX,1
FTTJ,1
FOOL,1
EBLG,1
EBOS,1
SVMC,1
LIBR,1
ZHCC,1
CYHM,1
SCSE,1
KGSP,1
TBPB,1
SCDA,1
SNBA,1
LFOK,1
SANR,1
KNYL,1
SKPE,1
SAAV,1
LEZL,1
LFML,1
SLSU,1
KLRD,1
SEMT,1
KAUS,1
KDOV,1
MMTO,1
SPQT,1
MNMG,1
SBJH,1
SCCF,0
GCLP,0
GCTS,0
GCFV,0
KHRL,0
GVBA,0
DXXX,0
DNKN,0
