ano,companhia,atrasos
2022,GLO,34008
2022,AZU,29464
2022,TAM,27327
2022,ACN,3324
2022,CMP,3285
2022,TAP,3205
2022,PTB,2723
2022,ARG,2473
2022,SID,1728
2022,PAM,1192
2022,GTI,1105
2022,LAN,980
2022,AAL,927
2022,UAL,912
2022,LCO,890
2022,AFR,801
2022,LTG,748
2022,ACA,745
2022,KLM,725
2022,BAW,704
2022,THY,611
2022,QTR,590
2022,MPH,562
2022,CLX,557
2022,DLH,549
2022,IBE,509
2022,AEA,466
2022,TPA,457
2022,DAL,431
2022,ETH,417
2022,AVA,415
2022,SWR,347
2022,TTL,334
2022,BOV,302
2022,FDX,296
2022,UPS,284
2022,MWM,282
2022,FBZ,263
2022,KAL,246
2022,LAE,241
2022,GEC,221
2022,SKU,220
2022,UAE,217
2022,ITY,206
2022,LAP,153
2022,AMX,135
2022,DTA,111
2022,CJT,108
2022,LPE,90
2022,ABD,75
2022,MAA,66
2022,CKS,58
2022,JAT,41
2022,QCL,39
2022,NCR,34
2022,PVV,30
2022,OMI,24
2022,GWR,22
2022,EDR,19
2022,NOS,17
2022,SWQ,17
2022,SLM,16
2022,JES,15
2022,TIW,14
2022,AJB,13
2022,BSC,13
2022,ABJ,12
2022,VVC,12
2022,ABB,11
2022,SRU,11
2022,ETR,10
2022,RER,6
2022,RZO,5
2022,BGA,4
2022,AZG,3
2022,BOL,3
2022,CSB,3
2022,HFY,3
2022,LAU,3
2022,1DE,2
2022,1ED,2
2022,AZP,2
2022,CAJ,2
2022,CVK,2
2022,DJT,2
2022,EUS,2
2022,JMK,2
2022,MMZ,2
2022,OAE,2
2022,PVG,2
2022,ROI,2
2022,TGY,2
2022,AXY,1
2022,ICE,1
2022,MBK,1
2022,ACL,0
2022,ASO,0
2022,ATG,0
2022,AWC,0
2022,AZN,0
2022,CCA,0
2022,CQB,0
2022,CXB,0
2022,EAL,0
2022,GXA,0
2022,KRE,0
2022,RSB,0
2022,TVR,0
2022,TXC,0
2022,UKL,0
2022,URO,0
2022,VCV,0
2023,TAM,45548
2023,GLO,45463
2023,AZU,39524
2023,PTB,3873
2023,CMP,3594
2023,ACN,3533
2023,TAP,3298
2023,SID,2048
2023,ARG,1682
2023,LAN,1534
2023,LCO,1409
2023,UAL,1249
2023,PAM,1168
2023,AAL,1051
2023,SKU,853
2023,THY,806
2023,GTI,783
2023,IBE,756
2023,LTG,756
2023,JAT,731
2023,FBZ,724
2023,AEA,685
2023,AFR,674
2023,QTR,667
2023,DAL,664
2023,ACA,617
2023,AVA,578
2023,TTL,571
2023,ITY,568
2023,CLX,475
2023,TPA,474
2023,UAE,473
