ano,icao,is_atraso_15,var_yoy
2022,CYHM,1,
2024,CYHM,0,-1.0
2022,CYMX,1,
2023,CYMX,1,0.0
2024,CYMX,7,6.0
2022,CYUL,118,
2023,CYUL,91,-27.0
2024,CYUL,135,44.0
2022,CYVR,0,
2023,CYVR,0,0.0
2023,CYXX,1,
2024,CYYT,0,
2022,CYYZ,282,
2023,CYYZ,193,-89.0
2024,CYYZ,178,-15.0
2022,DBBB,0,
2022,DGAA,19,
2023,DGAA,33,14.0
2024,DGAA,39,6.0
2023,DIAP,0,
2022,DNKN,0,
2023,DNKN,0,0.0
2024,DNKN,0,0.0
2022,DNMM,16,
2023,DNMM,52,36.0
2024,DNMM,32,-20.0
2022,DXXX,0,
2022,EBBR,25,
2023,EBBR,4,-21.0
2024,EBBR,52,48.0
2022,EBLG,1,
2023,EBLG,0,-1.0
2024,EBLG,0,0.0
2022,EBOS,1,
2023,EBOS,0,-1.0
2022,EDDF,615,
2023,EDDF,658,43.0
2024,EDDF,578,-80.0
2022,EDDM,125,
2023,EDDM,63,-62.0
2024,EDDM,5,-58.0
2023,EDDP,0,
2022,EGLL,366,
2023,EGLL,293,-73.0
2024,EGLL,230,-63.0
2022,EGNX,0,
2024,EGNX,0,0.0
2022,EGSS,0,
2023,EGSS,1,1.0
2024,EGSS,2,1.0
2022,EHAM,845,
2023,EHAM,533,-312.0
2024,EHAM,406,-127.0
2022,EHBK,0,
2023,EHBK,0,0.0
2023,EIDL,0,
2022,ELLX,239,
2023,ELLX,204,-35.0
2024,ELLX,181,-23.0
2022,ENGM,0,
2023,EPWA,2,
2024,EPWA,2,0.0
2023,ESOE,0,
2023,FACT,16,
2024,FACT,57,41.0
2022,FAOR,0,
2023,FAOR,7,7.0
2024,FAOR,92,85.0
2023,FCBB,0,
2022,FNLU,48,
2023,FNLU,87,39.0
2024,FNLU,37,-50.0
2023,FOOL,1,
2024,FTTJ,1,
2023,GCFV,0,
2023,GCLP,0,
2024,GCLP,0,0.0
2022,GCTS,0,
2023,GMMN,14,
2024,GMMN,4,-10.0
2022,GOBD,44,
2023,GOBD,86,42.0
2024,GOBD,259,173.0
2022,GUCY,8,
2023,GUCY,0,-8.0
2022,GVAC,166,
2023,GVAC,257,91.0
2024,GVAC,39,-218.0
2024,GVBA,0,
2022,HAAB,109,
2023,HAAB,41,-68.0
2024,HAAB,245,204.0
2023,HECA,2,
2024,HECA,0,-2.0
2022,HKJK,29,
2023,HKJK,0,-29.0
2024,HKMO,0,
2022,KAEX,0,
2023,KAEX,5,5.0
2024,KAEX,1,-4.0
2022,KAFW,0,
2022,KATL,212,
2023,KATL,327,115.0
2024,KATL,379,52.0
2023,KAUS,1,
2022,KBOS,7,
2023,KBOS,63,56.0
2024,KBOS,67,4.0
2024,KBRO,0,
2022,KCVG,0,
2023,KCVG,0,0.0
2024,KCVG,0,0.0
2022,KDFW,89,
2023,KDFW,139,50.0
2024,KDFW,311,172.0
2023,KDOV,1,
2022,KELP,0,
2022,KEWR,265,
2023,KEWR,214,-51.0
2024,KEWR,167,-47.0
2022,KFLL,46,
2023,KFLL,119,73.0
2024,KFLL,132,13.0
2024,KGRB,0,
2023,KGSP,1,
2022,KHRL,0,
2022,KHSV,15,
2023,KHSV,16,1.0
2022,KIAD,15,
2023,KIAD,104,89.0
2024,KIAD,142,38.0
2022,KIAH,321,
2023,KIAH,362,41.0
2024,KIAH,375,13.0
2022,KIWA,0,
2023,KIWA,0,0.0
2022,KIWI,0,
2022,KJFK,365,
2023,KJFK,382,17.0
2024,KJFK,406,24.0
2023,KLAS,2,
2024,KLAS,0,-2.0
2022,KLAX,84,
2023,KLAX,56,-28.0
2024,KLAX,96,40.0
2022,KLCK,2,
2023,KLCK,0,-2.0
2024,KLRD,1,
2022,KMCO,147,
2023,KMCO,151,4.0
2024,KMCO,136,-15.0
